dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P22353	YJL063C	1.25E-06	1.27E-06	1.24E-06
P22354	YKR085C	8.21E-07	7.52E-07	7.05E-07
P22434	YGL248W	0	0	3.28E-08
P22438	YGR171C	0	2.85E-08	1.25E-08
P22515	YKL210W	2.14E-06	2.20E-06	2.18E-06
P22517	YOL016C	2.46E-07	2.06E-07	1.80E-07
P22579	YOL004W	8.39E-08	7.22E-08	7.68E-08
P22696	YJR017C	1.83E-06	1.77E-06	1.81E-06
P22768	YOL058W	2.45E-05	2.73E-05	2.63E-05
P22803	YGR209C	7.14E-06	7.48E-06	7.73E-06
P22855	YGL156W	2.53E-07	2.56E-07	1.94E-07
P22936	YKL114C	1.66E-07	2.31E-07	1.93E-07
P22943	YFL014W	1.14E-06	9.98E-07	1.34E-06
P23180	YHL021C	9.56E-07	9.36E-07	9.85E-07
P23201	YLL021W	4.60E-08	5.20E-08	5.32E-08
P23202	YNL229C	5.07E-07	7.30E-07	6.88E-07
P23248	YML063W	7.75E-06	7.78E-06	7.49E-06
P23254	YPR074C	1.95E-05	2.00E-05	1.94E-05
P23285	YHR057C	6.61E-08	9.56E-08	1.11E-07
P23287	YLR433C	8.11E-08	6.99E-08	1.04E-07
P23291	YHR135C	3.73E-08	2.90E-08	2.92E-08
P23292	YNL154C	5.95E-08	7.55E-08	4.35E-08
P23293	YPR161C	4.61E-08	3.76E-08	4.47E-08
P23337	YFR015C	1.02E-08	1.09E-08	1.13E-08
P23369	YGR076C	5.11E-07	5.56E-07	7.98E-07
P23542	YLR027C	7.94E-06	8.40E-06	8.37E-06
P23594	YDL134C	1.11E-07	1.25E-07	1.01E-07
P23595	YDL188C	1.77E-07	1.89E-07	1.79E-07
P23615	YGR116W	1.87E-07	1.66E-07	1.72E-07
P23638	YGR135W	4.96E-06	5.25E-06	5.10E-06
P23639	YML092C	3.46E-06	3.72E-06	3.91E-06
P23641	YJR077C	8.16E-06	8.87E-06	8.05E-06
P23644	YMR203W	3.61E-06	3.90E-06	4.15E-06
P23724	YBL041W	6.88E-06	6.71E-06	6.35E-06
P23776	YLR300W	4.68E-07	5.93E-07	6.61E-07
P23833	YBR037C	1.39E-07	2.24E-07	1.48E-07
P24000	YGR148C	0.000181121	0.000164419	0.000146992
P24276	YDR293C	2.38E-07	2.21E-07	2.30E-07
P24279	YEL032W	6.19E-08	6.62E-08	6.59E-08
P24280	YMR079W	5.91E-06	6.00E-06	6.31E-06
P24521	YMR220W	1.88E-07	1.99E-07	2.04E-07
P24583	YBL105C	1.82E-08	1.69E-08	1.66E-08
P24783	YNL112W	3.65E-06	3.40E-06	3.41E-06
P24784	YPL119C	2.33E-08	3.97E-08	8.03E-08
P25037	YDL122W	1.19E-07	1.31E-07	1.44E-07
P25038	YOL023W	4.01E-08	3.54E-08	3.98E-08
P25039	YLR069C	6.20E-07	6.15E-07	5.74E-07
P25040	YOL022C	1.63E-07	1.50E-07	9.81E-08
P25043	YOR157C	1.82E-06	1.69E-06	1.86E-06
P25044	YDL230W	3.54E-08	0	0
P25045	YMR296C	2.46E-07	2.17E-07	2.08E-07
P25087	YML008C	1.04E-05	1.11E-05	1.09E-05
P25270	YOR201C	7.02E-08	8.93E-08	7.57E-08
P25293	YKR048C	8.52E-07	8.06E-07	8.28E-07
P25294	YNL007C	6.31E-06	6.69E-06	6.36E-06
P25296	YKL190W	8.12E-07	8.12E-07	7.89E-07
P25298	YMR061W	1.74E-08	2.85E-08	2.15E-08
P25303	YMR214W	1.57E-07	1.36E-07	1.51E-07
P25332	YCR036W	4.11E-06	3.73E-06	4.07E-06
P25337	YCR063W	2.04E-07	2.39E-07	3.16E-07
P25339	YGL014W	1.30E-07	1.21E-07	1.03E-07
P25340	YGL012W	5.95E-08	9.33E-08	1.52E-07
P25342	YCR002C	1.10E-06	1.08E-06	1.06E-06
P25343	YCR009C	1.39E-06	1.32E-06	1.31E-06
P25349	YCR004C	1.77E-06	1.90E-06	1.88E-06
P25357	YCR033W	0	5.52E-10	0
P25365	YCR067C	2.44E-08	2.83E-08	2.24E-08
P25366	YCR095C	4.82E-09	4.87E-09	3.52E-09
P25367	YCL028W	3.38E-06	3.38E-06	3.67E-06
P25368	YCL031C	4.98E-07	4.21E-07	4.52E-07
P25369	YCL034W	3.28E-07	3.67E-07	3.71E-07
P25371	YCR011C	1.97E-09	0	1.18E-09
P25372	YCR083W	9.66E-07	8.80E-07	8.99E-07
P25373	YCL035C	2.49E-06	2.65E-06	3.21E-06
P25374	YCL017C	9.36E-07	9.86E-07	9.95E-07
P25375	YCL057W	1.00E-06	1.00E-06	9.65E-07
P25382	YCR072C	1.22E-07	1.10E-07	1.15E-07
P25385	YLR078C	6.36E-08	4.29E-08	4.50E-08
P25386	YDL058W	1.68E-08	1.78E-08	1.59E-08
P25441	YDL150W	7.95E-08	8.77E-08	9.34E-08
P25443	YGL123W	7.74E-05	8.63E-05	8.41E-05
P25451	YER094C	3.58E-07	3.85E-07	4.05E-07
P25454	YER095W	9.16E-08	1.06E-07	9.71E-08
P25491	YNL064C	8.36E-06	9.04E-06	8.83E-06
P25555	YCL011C	6.34E-07	5.58E-07	6.05E-07
P25558	YCL014W	0	0	5.56E-08
P25566	YCL033C	8.55E-08	4.21E-07	8.88E-08
P25567	YCL037C	1.86E-06	1.96E-06	1.84E-06
P25573	YCL044C	4.60E-08	0	0
P25574	YCL045C	7.60E-08	7.14E-08	8.66E-08
P25576	YCL047C	5.13E-08	5.43E-08	5.08E-08
P25582	YCL054W	2.65E-07	2.37E-07	2.26E-07
P25586	YCL059C	5.04E-07	4.94E-07	4.42E-07
P25605	YCL009C	9.06E-06	8.91E-06	9.25E-06
P25617	YCR016W	1.80E-07	1.60E-07	1.64E-07
P25623	YCR030C	2.40E-07	2.08E-07	1.97E-07
P25626	YCR046C	1.21E-06	1.15E-06	1.23E-06
P25627	YCR047C	3.79E-07	3.31E-07	3.21E-07
P25631	YCR051W	4.96E-07	6.32E-07	6.03E-07
P25632	YCR052W	5.66E-08	5.49E-08	5.88E-08
P25635	YCR057C	7.07E-08	6.09E-08	6.96E-08
P25642	YCR071C	3.96E-07	4.16E-07	6.77E-07
P25644	YCR077C	4.04E-07	3.67E-07	3.83E-07
P25651	YCR086W	0	1.10E-08	1.14E-08
P25654	YCR090C	3.43E-07	3.89E-07	3.63E-07
P25655	YCR093W	5.27E-08	4.72E-08	4.80E-08
P25659	YCR076C	9.32E-08	9.21E-08	7.54E-08
P25694	YDL126C	5.39E-06	5.23E-06	5.45E-06
P25719	YML078W	9.49E-06	1.04E-05	1.12E-05
P25847	YOL090W	1.89E-08	2.40E-08	2.20E-08
P26263	YGR087C	0	3.74E-09	3.36E-09
P26321	YPL131W	7.14E-05	7.14E-05	6.49E-05
P26570	YML016C	5.55E-08	4.28E-08	4.80E-08
P26637	YPL160W	6.27E-06	5.97E-06	6.17E-06
P26754	YNL312W	4.62E-07	5.98E-07	5.03E-07
P26755	YJL173C	4.65E-07	4.82E-07	7.93E-07
P26783	YJR123W	7.02E-05	7.06E-05	6.96E-05
P26784	YIL133C	2.53E-05	2.45E-05	2.49E-05
P26785	YNL069C	4.89E-05	4.34E-05	3.98E-05
P26786	YOR096W	2.61E-05	2.72E-05	2.70E-05
P26793	YKL113C	1.11E-07	1.32E-07	1.17E-07
P27351	YJR005W	0	3.55E-08	2.17E-08
P27466	YFR014C	3.14E-07	3.03E-07	2.67E-07
P27472	YLR258W	2.21E-06	1.45E-07	1.85E-07
P27476	YGR159C	8.54E-06	7.93E-06	8.01E-06
P27514	YNR013C	6.17E-08	4.90E-08	3.80E-08
P27614	YJL172W	4.72E-07	5.19E-07	5.22E-07
P27616	YAR015W	1.18E-05	1.25E-05	1.18E-05
P27637	YAR014C	5.02E-08	5.55E-08	4.69E-08
P27692	YML010W	1.08E-06	1.11E-06	1.10E-06
P27697	YGL119W	6.86E-08	7.70E-08	7.29E-08
P27796	YIL160C	4.35E-07	2.09E-07	1.98E-07
P27809	YDR483W	2.80E-07	2.27E-07	2.21E-07
P27810	YOR099W	7.26E-08	7.80E-08	6.52E-08
P27882	YGR029W	1.70E-07	1.85E-07	2.34E-07
P27929	YNL137C	2.84E-07	2.98E-07	2.98E-07
P28000	YNL113W	5.35E-07	4.62E-07	5.16E-07
P28007	YHR089C	2.50E-06	2.30E-06	2.37E-06
P28239	YMR267W	1.38E-07	1.16E-07	1.38E-07
P28240	YER065C	2.31E-06	1.62E-06	2.54E-06
P28241	YOR136W	7.98E-06	8.87E-06	8.79E-06
P28272	YKL216W	2.26E-06	2.37E-06	2.32E-06
P28273	YKL215C	3.71E-08	3.99E-08	3.81E-08
P28274	YBL039C	1.23E-06	1.21E-06	1.18E-06
P28319	YKL096W	1.74E-07	0	0
P28321	YKL094W	6.21E-07	7.28E-07	7.51E-07
P28495	YKL007W	1.82E-06	1.83E-06	1.86E-06
P28625	YMR152W	3.13E-07	2.24E-07	3.27E-07
P28707	YKL117W	1.08E-05	1.04E-05	1.02E-05
P28737	YGR028W	2.84E-08	4.39E-08	5.05E-08
P28777	YGL148W	3.79E-06	3.72E-06	3.91E-06
P28778	YKL003C	9.63E-07	9.60E-07	1.04E-06
P28789	YDL205C	1.02E-06	1.03E-06	9.37E-07
P28817	YDR036C	8.24E-08	1.01E-07	1.51E-07
P28834	YNL037C	8.01E-06	8.32E-06	8.03E-06
P29029	YLR286C	1.16E-06	2.13E-07	1.87E-07
P29055	YPR086W	1.31E-07	1.12E-07	1.07E-07
P29295	YPL204W	5.41E-08	4.71E-08	4.49E-08
P29311	YER177W	7.94E-06	8.00E-06	8.28E-06
P29366	YBR200W	3.68E-08	3.42E-08	3.65E-08
P29453	YLL045C	9.09E-05	9.26E-05	9.19E-05
P29465	YBR023C	1.07E-08	6.56E-09	1.93E-08
P29468	YKR002W	1.26E-07	1.22E-07	9.79E-08
P29469	YBL023C	1.50E-08	1.12E-08	1.24E-08
P29478	YML105C	1.33E-06	1.14E-06	1.38E-06
P29496	YLR274W	9.03E-08	6.98E-08	6.30E-08
P29509	YDR353W	5.59E-06	5.78E-06	5.81E-06
P29547	YPL048W	2.33E-06	2.49E-06	2.40E-06
P29703	YKL019W	9.56E-08	1.36E-07	1.45E-07
P29704	YHR190W	6.95E-07	6.01E-07	6.35E-07
P29952	YER003C	2.37E-06	2.48E-06	2.50E-06
P30619	YDR164C	1.48E-06	1.34E-06	1.55E-06
P30624	YOR317W	1.21E-06	1.08E-06	1.09E-06
P30656	YPR103W	1.50E-06	1.62E-06	1.90E-06
P30657	YFR050C	3.58E-06	3.63E-06	3.61E-06
P30665	YPR019W	8.12E-08	7.01E-08	7.57E-08
P30771	YMR080C	1.78E-07	1.98E-07	1.83E-07
P30775	YGL143C	0	0	4.60E-08
P30822	YGR218W	5.67E-07	5.29E-07	5.38E-07
P30902	YKL016C	7.72E-06	7.96E-06	8.13E-06
P30952	YNL117W	1.53E-06	1.39E-06	3.59E-06
P31109	YAL030W	4.34E-07	3.10E-07	0
P31115	YFL001W	1.09E-08	9.67E-09	1.00E-08
P31116	YJR139C	1.20E-05	1.23E-05	1.18E-05
P31334	YGR220C	7.16E-07	7.87E-07	9.08E-07
P31373	YAL012W	1.90E-05	2.09E-05	1.92E-05
P31377	YAL014C	0	3.78E-08	5.08E-08
P31380	YAL019W	8.70E-09	8.21E-09	1.87E-08
P31383	YAL016W	4.04E-07	3.50E-07	3.88E-07
P31384	YAL021C	1.50E-07	5.88E-07	1.53E-07
P31412	YKL080W	2.09E-06	2.08E-06	1.98E-06
P31539	YLL026W	3.20E-06	2.99E-06	3.12E-06
P31688	YDR074W	5.61E-07	5.63E-07	5.36E-07
P31787	YGR037C	2.03E-06	1.73E-06	1.93E-06
P32048	YNL073W	4.24E-08	2.03E-08	1.64E-08
P32074	YNL287W	7.11E-07	6.62E-07	6.88E-07
P32178	YPR060C	7.33E-07	7.54E-07	7.19E-07
P32179	YOL064C	5.05E-06	5.05E-06	5.01E-06
P32190	YHL032C	5.83E-08	2.30E-07	1.21E-07
P32191	YIL155C	5.46E-07	1.06E-06	1.51E-06
P32263	YER023W	1.80E-06	1.94E-06	1.95E-06
P32264	YDR300C	4.59E-07	4.86E-07	4.04E-07
P32266	YOR211C	9.57E-08	7.80E-08	9.21E-08
P32288	YPR035W	1.38E-05	1.36E-05	1.39E-05
P32316	YBL015W	2.12E-06	3.18E-06	2.86E-06
P32317	YEL052W	1.20E-07	1.28E-07	2.28E-07
P32319	YBL017C	1.20E-07	8.49E-08	9.67E-08
P32324	YDR385W	5.50E-05	5.47E-05	5.49E-05
P32327	YBR218C	1.08E-06	1.16E-06	1.16E-06
P32328	YPR111W	3.54E-08	1.87E-08	0
P32331	YPR058W	9.79E-08	1.35E-07	1.00E-07
P32332	YKL120W	2.58E-07	2.67E-07	2.50E-07
P32335	YLR203C	4.39E-07	4.46E-07	4.53E-07
P32337	YMR308C	2.29E-07	1.91E-07	2.04E-07
P32340	YML120C	1.15E-06	1.14E-06	1.57E-06
P32341	YKL119C	0	8.58E-08	9.79E-08
P32342	YKL122C	1.88E-06	1.63E-06	1.95E-06
P32347	YDR047W	4.67E-07	5.22E-07	5.40E-07
P32349	YPR190C	3.64E-08	3.38E-08	3.48E-08
P32353	YLR056W	3.57E-07	3.51E-07	4.08E-07
P32356	YDR001C	2.28E-07	2.37E-07	2.09E-07
P32364	YKL079W	3.35E-08	4.68E-08	2.59E-08
P32366	YLR447C	3.21E-06	3.59E-06	3.18E-06
P32368	YKL212W	7.20E-07	6.18E-07	6.55E-07
P32377	YNR043W	4.43E-06	4.36E-06	4.13E-06
P32379	YGR253C	6.26E-06	5.90E-06	5.79E-06
P32380	YDR356W	4.80E-09	6.62E-09	7.44E-09
P32381	YDL029W	1.79E-06	1.86E-06	1.77E-06
P32387	YDR405W	1.50E-07	1.55E-07	1.56E-07
P32388	YKL167C	9.58E-07	9.74E-07	9.56E-07
P32419	YDL078C	1.13E-06	1.07E-06	1.04E-06
P32432	YLR403W	1.35E-08	1.74E-08	1.51E-08
P32445	YCR028C-A	1.04E-05	9.32E-06	1.01E-05
P32447	YJL115W	2.38E-07	2.38E-07	2.78E-07
P32449	YBR249C	1.31E-05	1.41E-05	1.31E-05
P32451	YGR286C	8.61E-07	1.12E-06	1.04E-06
P32452	YNL316C	4.32E-07	3.35E-07	4.40E-07
P32453	YNL315C	4.54E-07	4.84E-07	4.76E-07
P32454	YKL157W	1.11E-06	1.05E-06	1.11E-06
P32457	YLR314C	1.43E-06	1.48E-06	1.30E-06
P32458	YJR076C	8.86E-07	6.89E-07	6.00E-07
P32461	YKL191W	8.10E-08	6.39E-08	6.11E-08
P32463	YKL192C	4.50E-06	4.07E-06	4.42E-06
P32468	YHR107C	6.98E-07	7.19E-07	6.54E-07
P32469	YLR172C	9.28E-07	9.86E-07	9.31E-07
P32471	YAL003W	6.22E-05	6.01E-05	6.05E-05
P32472	YDR519W	1.04E-06	1.02E-06	1.13E-06
P32473	YBR221C	1.57E-05	1.72E-05	1.62E-05
P32474	YDR518W	2.66E-08	3.22E-08	2.36E-08
P32476	YGR175C	2.07E-06	1.75E-06	2.06E-06
P32477	YJL101C	2.20E-07	1.86E-07	2.09E-07
P32481	YER025W	3.68E-06	3.50E-06	3.53E-06
P32485	YLR113W	4.41E-07	4.58E-07	4.51E-07
P32492	YAL029C	8.00E-09	1.00E-08	1.08E-08
P32495	YDL208W	7.82E-06	7.97E-06	8.50E-06
P32496	YFR052W	1.17E-06	1.21E-06	1.20E-06
P32497	YMR309C	1.74E-06	1.64E-06	1.64E-06
P32499	YLR335W	3.83E-07	3.81E-07	3.86E-07
P32501	YDR211W	2.02E-07	1.87E-07	1.94E-07
P32502	YLR291C	2.67E-07	3.42E-07	2.63E-07
P32505	YGL122C	1.33E-07	3.20E-07	1.35E-07
P32521	YIR006C	2.51E-07	2.40E-07	2.40E-07
P32523	YLL036C	9.84E-08	2.17E-07	1.65E-07
P32524	YJL203W	7.49E-08	1.89E-07	6.48E-08
P32527	YGR285C	1.12E-05	1.15E-05	1.09E-05
P32529	YJR063W	1.63E-06	1.39E-06	1.62E-06
P32558	YGL207W	7.11E-07	8.04E-07	7.47E-07
P32561	YNL330C	1.35E-07	1.57E-07	0
P32563	YOR270C	6.87E-07	5.44E-07	5.94E-07
P32564	YGR049W	1.58E-07	1.56E-07	1.72E-07
P32565	YIL075C	7.42E-07	7.15E-07	7.54E-07
P32566	YGR229C	7.14E-07	6.69E-07	6.30E-07
P32567	YMR165C	8.99E-09	1.62E-08	6.19E-09
P32568	YDR011W	4.81E-09	4.57E-09	4.27E-09
P32570	YBR253W	1.44E-07	1.19E-07	1.36E-07
P32573	YNL202W	1.60E-07	2.63E-07	2.83E-07
P32579	YGL169W	8.23E-08	1.57E-07	1.00E-07
P32582	YGR155W	7.64E-06	7.27E-06	7.51E-06
P32583	YKR092C	2.29E-07	2.33E-07	2.39E-07
P32588	YNL016W	7.20E-06	7.03E-06	7.04E-06
P32589	YPL106C	2.68E-05	2.64E-05	2.65E-05
P32590	YBR169C	1.93E-07	2.65E-07	2.27E-07
P32591	YJL176C	8.74E-08	6.03E-08	1.51E-07
P32597	YIL126W	5.36E-08	4.88E-08	4.94E-08
P32598	YER133W	1.02E-06	1.18E-06	1.11E-06
P32599	YDR129C	2.27E-06	2.03E-06	2.09E-06
P32602	YBL050W	9.47E-07	8.86E-07	8.82E-07
P32604	YJL155C	1.41E-07	9.60E-08	1.15E-07
P32606	YOR017W	0	5.68E-09	6.29E-09
P32607	YOL067C	8.75E-08	0	7.39E-08
P32608	YGL252C	2.43E-07	2.35E-07	2.22E-07
P32610	YEL051W	2.91E-06	2.92E-06	2.50E-06
P32611	YEL050C	3.12E-07	2.65E-07	2.78E-07
P32614	YEL047C	1.11E-06	1.16E-06	1.18E-06
P32617	YEL044W	2.35E-07	2.02E-07	1.95E-07
P32621	YEL042W	1.21E-07	1.27E-07	1.04E-07
P32623	YEL040W	0	1.26E-08	1.38E-08
P32626	YEL038W	1.51E-07	2.58E-07	2.03E-07
P32628	YEL037C	1.02E-06	9.87E-07	9.35E-07
P32629	YEL036C	1.64E-07	2.13E-07	1.85E-07
P32639	YER172C	0	2.26E-09	2.76E-09
P32642	YER174C	2.61E-07	2.54E-07	1.52E-07
P32643	YER175C	6.78E-07	7.29E-07	6.59E-07
P32644	YER176W	5.56E-09	4.02E-09	3.92E-09
P32656	YER163C	0	3.14E-08	3.59E-08
P32657	YER164W	6.05E-09	6.80E-09	6.05E-09
P32660	YER166W	6.60E-09	5.71E-09	5.97E-09
P32769	YKR084C	3.26E-07	3.62E-07	3.15E-07
P32771	YDL168W	1.29E-06	1.30E-06	1.27E-06
P32774	YKL058W	5.14E-07	4.39E-07	4.93E-07
P32775	YEL011W	6.60E-08	8.11E-08	1.18E-07
P32776	YDR311W	1.28E-08	7.75E-09	7.99E-09
P32783	YBR236C	1.81E-07	1.96E-07	1.83E-07
P32787	YJR144W	8.21E-07	8.29E-07	8.71E-07
P32790	YBL007C	1.89E-07	1.66E-07	1.48E-07
P32793	YHR016C	6.50E-07	8.03E-07	7.56E-07
P32794	YLR397C	2.98E-07	6.11E-07	2.87E-07
P32795	YPR024W	3.40E-07	2.74E-07	2.95E-07
P32796	YML042W	2.07E-07	3.66E-07	3.73E-07
P32799	YGL191W	1.67E-06	1.71E-06	1.68E-06
P32802	YLR083C	1.04E-07	1.07E-07	9.85E-08
P32803	YGL200C	5.64E-07	5.22E-07	4.94E-07
P32805	YGL254W	1.02E-07	2.60E-08	2.43E-08
P32829	YMR224C	7.62E-09	0	0
P32831	YBR212W	5.19E-08	4.75E-08	0
P32832	YMR091C	2.81E-07	2.80E-07	2.83E-07
P32839	YDR375C	1.97E-07	1.50E-07	1.79E-07
P32843	YMR302C	1.23E-07	1.42E-07	1.87E-07
P32844	YIL068C	3.70E-09	2.87E-09	3.39E-09
P32857	YKL039W	5.28E-08	4.83E-08	0
P32860	YKL040C	1.30E-06	1.20E-06	1.27E-06
P32861	YKL035W	1.91E-06	2.21E-06	1.95E-06
P32864	YOR370C	1.15E-07	9.51E-08	8.76E-08
P32867	YPL232W	1.15E-06	9.83E-07	1.14E-06
P32875	YOR196C	1.67E-07	1.19E-07	1.13E-07
P32891	YDL174C	2.03E-06	1.98E-06	2.11E-06
P32892	YLL008W	7.96E-08	7.30E-08	7.02E-08
P32895	YKL181W	1.93E-06	2.21E-06	2.00E-06
P32896	YDR081C	2.56E-08	1.81E-08	2.36E-08
P32897	YNR017W	9.81E-07	1.30E-06	1.18E-06
P32898	YDR430C	1.64E-07	1.71E-07	1.74E-07
P32899	YHR148W	1.66E-07	1.47E-07	1.42E-07
P32902	YHL004W	6.32E-07	5.84E-07	6.32E-07
P32904	YHR147C	3.75E-07	3.64E-07	4.04E-07
P32905	YGR214W	2.42E-05	2.68E-05	2.57E-05
P32907	YNR002C	1.00E-08	2.14E-07	0
P32908	YFL008W	3.20E-08	4.32E-08	4.59E-08
P32909	YBR172C	7.16E-08	6.72E-08	6.73E-08
P32910	YNR003C	1.64E-07	1.49E-07	1.49E-07
P32911	YNL244C	4.91E-06	4.94E-06	5.25E-06
P32912	YGL212W	0	6.02E-08	6.93E-08
P32913	YOR132W	5.60E-08	4.70E-08	4.57E-08
P32914	YGR063C	4.40E-07	3.99E-07	4.84E-07
P32916	YDR292C	1.85E-07	2.00E-07	1.69E-07
P32939	YML001W	9.54E-07	8.25E-07	9.11E-07
P33201	YKL009W	3.95E-06	3.52E-06	3.80E-06
P33202	YKL010C	1.61E-08	1.02E-08	3.88E-08
P33204	YKL013C	2.73E-07	5.29E-07	3.82E-07
P33297	YOR117W	2.51E-06	2.52E-06	2.63E-06
P33298	YDR394W	1.48E-06	1.47E-06	1.40E-06
P33299	YKL145W	3.00E-06	2.94E-06	2.90E-06
P33302	YOR153W	4.32E-08	4.62E-08	3.93E-08
P33303	YJR095W	3.39E-07	4.06E-07	5.90E-07
P33307	YGL238W	1.05E-08	9.76E-09	8.53E-09
P33309	YNL001W	2.97E-07	3.09E-07	3.16E-07
P33313	YBR155W	2.91E-07	2.84E-07	3.20E-07
P33315	YBR117C	1.38E-07	1.48E-07	3.54E-07
P33317	YBR252W	3.38E-06	3.33E-06	3.58E-06
P33322	YLR175W	3.69E-06	3.46E-06	3.54E-06
P33324	YKL091C	7.26E-08	8.00E-08	7.08E-08
P33327	YDL215C	1.10E-07	1.13E-07	1.84E-07
P33328	YOR327C	2.65E-07	1.97E-07	2.27E-07
P33330	YOR184W	9.70E-06	1.06E-05	1.01E-05
P33331	YER009W	1.49E-05	1.76E-05	1.69E-05
P33332	YER008C	1.44E-08	0	1.63E-08
P33333	YDL052C	8.72E-08	6.80E-08	7.98E-08
P33338	YNL243W	4.66E-07	4.27E-07	4.14E-07
P33399	YDL051W	1.59E-06	1.43E-06	1.56E-06
P33401	YKL127W	2.52E-07	2.21E-07	2.00E-07
P33412	YGR007W	5.14E-08	7.10E-08	1.68E-07
P33416	YDR258C	1.42E-06	1.41E-06	1.46E-06
P33417	YKL032C	2.74E-07	2.45E-07	2.31E-07
P33421	YKL141W	2.38E-07	2.32E-07	4.42E-07
P33441	YML062C	6.08E-08	6.95E-08	0
P33442	YLR441C	4.47E-05	5.07E-05	5.59E-05
P33734	YBR248C	2.66E-06	2.92E-06	2.82E-06
P33749	YKL062W	0	4.24E-08	0
P33750	YLL011W	8.04E-08	9.00E-08	8.34E-08
P33753	YKR056W	1.15E-07	1.05E-07	1.01E-07
P33754	YBR171W	3.60E-07	3.16E-07	3.65E-07
P33755	YBR170C	2.18E-07	2.44E-07	2.46E-07
P33759	YBR251W	6.24E-07	5.56E-07	5.19E-07
P33767	YEL002C	7.60E-07	7.36E-07	7.66E-07
P33775	YDL095W	2.49E-07	2.01E-07	2.16E-07
P33892	YGL195W	3.21E-07	2.60E-07	2.81E-07
P33893	YBL080C	0	0	2.81E-08
P33895	YOL069W	8.20E-08	2.96E-07	3.42E-07
P34077	YFR002W	2.59E-07	1.69E-07	1.79E-07
P34078	YKL143W	8.39E-08	8.43E-08	8.62E-08
P34087	YDR404C	4.54E-07	5.45E-07	6.27E-07
P34110	YJL154C	0	1.46E-08	1.44E-08
P34111	YAL001C	1.00E-09	0	0
P34160	YMR125W	1.93E-07	1.77E-07	1.66E-07
P34162	YHR041C	1.41E-07	1.87E-07	2.25E-07
P34167	YPR163C	4.87E-06	4.48E-06	4.89E-06
P34216	YBL047C	5.53E-07	5.19E-07	5.43E-07
P34217	YBL051C	8.64E-08	1.12E-07	0
P34220	YBL055C	9.02E-08	1.05E-07	9.31E-08
P34221	YBL056W	9.34E-07	8.92E-07	9.64E-07
P34222	YBL057C	0	7.86E-07	8.24E-07
P34223	YBL058W	1.48E-06	1.35E-06	1.39E-06
P34226	YBL061C	3.80E-08	3.74E-08	6.81E-08
P34227	YBL064C	8.93E-07	8.46E-07	9.75E-07
P34232	YKL186C	3.04E-07	3.50E-07	3.55E-07
P34237	YKL179C	2.94E-08	0	1.96E-08
P34241	YKL014C	1.68E-08	1.34E-08	1.27E-08
P34247	YKL099C	4.83E-07	5.03E-07	4.53E-07
P34253	YKL110C	1.75E-07	1.55E-07	1.45E-07
P34730	YDR099W	2.97E-05	2.70E-05	2.83E-05
P34760	YML028W	2.53E-05	2.42E-05	2.37E-05
P34761	YNL197C	0	1.57E-07	4.44E-07
P34909	YER068W	1.34E-07	1.39E-07	1.75E-07
P35127	YJR099W	1.93E-07	1.82E-07	2.17E-07
P35176	YDR304C	4.26E-06	4.06E-06	4.17E-06
P35178	YDR087C	3.40E-08	2.87E-08	2.57E-08
P35179	YDR086C	2.61E-06	2.33E-06	2.51E-06
P35180	YGR082W	7.25E-07	9.76E-07	7.07E-07
P35181	YLR170C	1.76E-07	1.83E-07	0
P35182	YDL006W	0	1.82E-07	8.33E-08
P35184	YIR012W	4.95E-07	5.31E-07	5.27E-07
P35189	YPL129W	8.51E-07	1.03E-06	9.08E-07
P35191	YFL016C	1.08E-06	1.26E-06	1.20E-06
P35194	YBL004W	3.06E-08	2.92E-08	4.41E-08
P35195	YBL001C	1.13E-06	1.07E-06	1.08E-06
P35197	YDL226C	5.50E-07	5.78E-07	5.36E-07
P35202	YOR143C	7.39E-08	1.05E-07	7.36E-08
P35207	YLR398C	1.07E-07	9.02E-08	8.76E-08
P35691	YKL056C	7.48E-05	6.97E-05	6.94E-05
P35719	YKL142W	1.90E-06	1.70E-06	1.66E-06
P35723	YKL065C	3.52E-07	2.99E-07	3.29E-07
P35725	YKL063C	9.63E-08	2.99E-07	8.89E-08
P35727	YKL061W	0	2.18E-09	0
P35729	YKL057C	2.78E-08	2.53E-08	3.54E-08
P35732	YKL054C	1.86E-06	1.92E-06	1.83E-06
P35844	YPL145C	2.45E-06	2.84E-06	2.59E-06
P35845	YAR042W	3.88E-08	4.05E-08	3.53E-08
P35996	YKL170W	8.26E-07	8.25E-07	7.64E-07
P36000	YKL135C	6.86E-08	6.79E-08	6.24E-08
P36006	YKL129C	7.87E-08	7.20E-08	6.77E-08
P36007	YKL218C	6.81E-07	5.33E-07	5.83E-07
P36008	YKL081W	1.70E-05	1.92E-05	1.76E-05
P36009	YKL078W	0	1.11E-08	1.02E-08
P36010	YKL067W	4.00E-06	4.49E-06	4.82E-06
P36013	YKL029C	4.69E-06	5.36E-06	5.00E-06
P36014	YKL026C	2.06E-08	9.65E-08	4.81E-07
P36015	YKL196C	1.50E-06	1.45E-06	1.43E-06
P36016	YKL073W	4.84E-08	4.16E-08	4.58E-08
P36017	YOR089C	1.67E-07	3.51E-07	2.88E-07
P36018	YKR014C	7.51E-07	5.74E-07	8.73E-07
