dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P11745	YMR235C	1.11E-06	1.09E-06	1.13E-06
P11792	YHR205W	1.99E-08	1.87E-08	1.90E-08
P11914	YHR024C	1.04E-06	1.06E-06	1.09E-06
P11938	YNL216W	2.81E-07	2.79E-07	2.61E-07
P11972	YLR452C	1.67E-07	2.51E-07	2.28E-07
P11986	YJL153C	1.08E-06	1.32E-06	1.43E-06
P12385	YBR143C	2.51E-06	2.43E-06	2.40E-06
P12611	YOR043W	1.14E-07	1.12E-07	1.13E-07
P12612	YDR212W	2.18E-06	2.30E-06	2.23E-06
P12683	YML075C	5.90E-07	5.14E-07	4.66E-07
P12684	YLR450W	1.03E-08	1.42E-08	1.05E-08
P12686	YGR084C	4.53E-07	4.94E-07	4.44E-07
P12687	YNL005C	2.74E-07	2.47E-07	2.53E-07
P12688	YKL126W	1.64E-07	1.19E-07	1.12E-07
P12695	YNL071W	3.89E-06	3.84E-06	3.94E-06
P12709	YBR196C	2.70E-05	2.71E-05	2.69E-05
P12753	YNL250W	0	2.05E-08	1.80E-08
P12754	YGR083C	1.93E-07	1.81E-07	1.66E-07
P12904	YGL115W	1.98E-07	1.96E-07	1.73E-07
P12945	YDL040C	4.10E-07	3.84E-07	3.93E-07
P12962	YOR276W	6.45E-07	5.10E-07	6.85E-07
P13130	YHR139C	2.14E-07	0	0
P13185	YDR122W	1.64E-08	1.70E-08	1.53E-08
P13188	YOR168W	3.01E-06	2.90E-06	2.97E-06
P13259	YGR202C	1.49E-07	1.34E-07	1.44E-07
P13298	YML106W	1.35E-06	1.43E-06	1.22E-06
P13382	YNL102W	0	0	8.46E-09
P13393	YER148W	2.56E-07	2.45E-07	2.45E-07
P13517	YIL034C	5.00E-07	5.57E-07	5.33E-07
P13574	YHR084W	1.07E-08	7.91E-09	7.53E-09
P13586	YGL167C	1.96E-07	1.58E-07	1.55E-07
P13663	YDR158W	1.81E-05	2.06E-05	1.97E-05
P13711	YGL205W	2.37E-07	2.07E-07	1.81E-07
P13712	YBR195C	3.38E-08	3.38E-08	3.41E-08
P13856	YGR152C	1.42E-06	8.64E-07	9.56E-07
P14020	YPR183W	1.77E-06	1.65E-06	1.52E-06
P14063	YKL138C	9.15E-07	9.82E-07	1.04E-06
P14065	YOR120W	3.63E-07	5.30E-07	5.04E-07
P14120	YGL030W	9.22E-05	9.63E-05	9.30E-05
P14126	YOR063W	9.91E-05	9.52E-05	9.32E-05
P14127	YDR447C	0.000116719	0.000123575	0.000128206
P14164	YKL112W	4.55E-07	4.95E-07	5.01E-07
P14306	YLR178C	1.20E-06	5.95E-07	1.03E-06
P14540	YKL060C	0.000214413	0.000216737	0.000216737
P14680	YJL141C	0	1.66E-08	1.30E-08
P14681	YGR040W	1.15E-07	0	0
P14741	YKR026C	5.24E-07	9.02E-07	1.08E-06
P14742	YKL104C	3.90E-06	3.62E-06	3.65E-06
P14743	YLR195C	3.27E-07	3.01E-07	2.77E-07
P14747	YML057W	1.27E-07	1.16E-07	1.10E-07
P14832	YDR155C	9.47E-05	8.73E-05	8.93E-05
P14843	YDR035W	3.14E-06	3.20E-06	3.04E-06
P14904	YKL103C	5.22E-07	5.90E-07	6.50E-07
P14906	YOR254C	2.80E-07	2.60E-07	2.88E-07
P14907	YJL041W	4.84E-07	4.58E-07	4.99E-07
P14908	YMR228W	6.80E-08	8.44E-08	2.31E-07
P14922	YBR112C	1.60E-07	1.54E-07	1.54E-07
P15019	YLR354C	1.25E-05	1.30E-05	1.21E-05
P15108	YMR186W	4.44E-05	4.51E-05	4.46E-05
P15179	YPL104W	1.23E-07	1.23E-07	7.99E-08
P15180	YDR037W	1.25E-05	1.33E-05	1.33E-05
P15202	YDR256C	2.40E-07	2.40E-07	3.57E-07
P15274	YML035C	1.64E-07	1.46E-07	1.37E-07
P15303	YPR181C	5.88E-07	5.39E-07	5.70E-07
P15424	YDR194C	9.64E-07	9.85E-07	1.02E-06
P15436	YDL102W	1.55E-08	1.47E-08	1.53E-08
P15454	YDR454C	1.10E-05	1.06E-05	1.07E-05
P15496	YPL117C	4.66E-06	4.60E-06	4.45E-06
P15565	YDR120C	4.00E-07	3.76E-07	3.69E-07
P15624	YLR060W	4.80E-06	5.07E-06	5.08E-06
P15625	YFL022C	3.16E-06	3.16E-06	3.31E-06
P15646	YDL014W	1.78E-05	1.85E-05	1.81E-05
